"Cortas de madera según titularidad del monte. Concejos"

"Ámbito territorial";"TOTAL 2000";"TOTAL 2001";"TOTAL 2006";"TOTAL 2007";"TOTAL 2009";"TOTAL 2010";"TOTAL 2011";"TOTAL 2012";"TOTAL 2013";"TOTAL 2014";"TOTAL 2015";"TOTAL 2016";"TOTAL 2017";"TOTAL 2018";"Montes de particulares 2000";"Montes de particulares 2001";"Montes de particulares 2006";"Montes de particulares 2007";"Montes de particulares 2009";"Montes de particulares 2010";"Montes de particulares 2011";"Montes de particulares 2012";"Montes de particulares 2013";"Montes de particulares 2014";"Montes de particulares 2015";"Montes de particulares 2016";"Montes de particulares 2017";"Montes de particulares 2018";"Montes de utilidad pública 2000";"Montes de utilidad pública 2001";"Montes de utilidad pública 2006";"Montes de utilidad pública 2007";"Montes de utilidad pública 2009";"Montes de utilidad pública 2010";"Montes de utilidad pública 2011";"Montes de utilidad pública 2012";"Montes de utilidad pública 2013";"Montes de utilidad pública 2014";"Montes de utilidad pública 2015";"Montes de utilidad pública 2016";"Montes de utilidad pública 2017";"Montes de utilidad pública 2018";"Montes consorciados o en convenio 2000";"Montes consorciados o en convenio 2001";"Montes consorciados o en convenio 2006";"Montes consorciados o en convenio 2007";"Montes consorciados o en convenio 2009";"Montes consorciados o en convenio 2010";"Montes consorciados o en convenio 2011";"Montes consorciados o en convenio 2012";"Montes consorciados o en convenio 2013";"Montes consorciados o en convenio 2014";"Montes consorciados o en convenio 2015";"Montes consorciados o en convenio 2016";"Montes consorciados o en convenio 2017";"Montes consorciados o en convenio 2018"
"33048 Pesoz";335;3682;4302;4320;875;5678;15541;5847;4412;4056;796;4793;41;0;276;2868;0;51;875;58;41;0;0;15;518;107;41;0;0;0;0;0;0;5620;15500;2101;0;0;0;0;0;0;59;814;4302;4269;0;0;0;3746;4412;4041;278;4686;0;0
"33049 Piloña";8299;7356;8340;2084;3592;4221;13226;9943;17380;19331;5393;10269;4020;15529;7435;6633;5437;1454;2962;4221;4079;5122;5874;19331;5393;8074;4020;15529;864;3;0;0;0;0;4750;4397;0;0;0;0;0;0;0;720;2903;630;630;0;4397;424;11506;0;0;2195;0;0
"33050 Ponga";352;610;0;110;0;0;0;0;0;0;0;0;0;9;352;607;0;110;0;0;0;0;0;0;0;0;0;9;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33051 Pravia";41860;39980;43409;45139;27510;48207;35672;39245;51594;49070;53482;63546;68441;82350;38968;33936;38689;42610;26654;45929;33727;38717;48114;41445;49318;59809;66109;80194;52;3286;3501;1506;346;565;1945;0;2995;4200;3697;2864;2063;1887;2840;2758;1219;1023;510;1713;0;528;485;3425;467;873;269;269
"33052 Proaza";1616;711;544;187;145;73;15054;410;2067;927;2044;1037;279;126;1516;711;544;187;145;73;554;410;171;567;121;1037;279;126;0;0;0;0;0;0;14500;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;1896;360;1923;0;0;0
"33053 Quirós";2702;3683;1979;814;1515;810;905;850;407;196;1080;890;260;443;2702;3683;1979;814;1515;810;905;850;407;196;1080;890;260;443;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33054 Regueras, Las";12205;7300;7982;4918;6656;6261;9812;5027;4217;10475;11220;9579;15810;15944;12205;7300;7662;3931;3105;5315;7761;3007;3315;9469;8978;9579;14127;13741;0;0;0;0;0;946;1000;1051;0;0;0;0;0;0;0;0;320;987;3551;0;1051;969;902;1006;2242;0;1683;2203
"33055 Ribadedeva";4291;1483;2497;2166;4538;12808;4865;3694;6398;533;6090;4142;2929;3735;4291;1483;2497;2166;4538;12808;4865;3694;6398;533;6090;4142;2929;3735;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33056 Ribadesella";22520;15523;7053;2521;18991;18760;12260;16417;13475;28511;11773;23119;22959;22971;22520;15523;7053;2411;18881;18760;12260;16417;13475;28511;11773;23119;22959;22971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;110;0;0;0;0;0;0;0;0;0
"33057 Ribera de Arriba";1044;803;52;349;189;255;0;94;857;202;171;159;154;736;1044;803;52;349;189;255;0;94;857;202;171;159;154;736;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33058 Riosa";2796;1804;1865;1613;252;137;295;160;453;493;0;0;0;0;2796;1804;1865;1613;252;137;295;160;453;493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33059 Salas";29763;26576;33837;52729;18344;27338;36756;23995;41193;37639;46451;63922;71194;43041;26406;23376;31855;52724;16871;27338;32930;19077;35010;37544;34868;59053;65836;39985;0;0;0;0;0;0;1600;4202;0;0;0;0;0;0;3357;3200;1982;5;1473;0;2226;716;6183;95;11583;4869;5358;3056
"33060 San Martín del Rey Aurelio";2148;2430;1244;723;144;680;153;379;53;24;50;185;0;56;2148;2430;1244;723;144;680;153;379;53;24;50;185;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33061 San Martín de Oscos";4188;2809;1236;440;2900;811;3864;3969;41;51;223;4384;3763;11697;4188;2809;381;440;2900;811;0;105;41;51;223;4384;3763;11697;0;0;0;0;0;0;0;3864;0;0;0;0;0;0;0;0;855;0;0;0;3864;0;0;0;0;0;0;0
"33062 Santa Eulalia de Oscos";3773;5774;2991;3102;554;2499;1129;588;1385;1017;3332;1239;3763;8857;3773;5495;2991;3102;554;2499;1129;588;1385;1017;3332;1239;3763;8857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;279;0;0;0;0;0;0;0;0;0;0;0;0
"33063 San Tirso de Abres";8184;10005;5089;10576;7202;5814;13601;3121;21951;16943;20769;27617;13614;50574;8184;10005;5089;10576;7202;5814;13601;3121;21951;16943;20769;27617;13614;50574;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33064 Santo Adriano";295;388;50;12;261;236;0;0;0;387;464;450;1087;0;295;388;50;12;261;236;0;0;0;387;464;450;1087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33065 Sariego";391;1341;910;54;282;1421;621;477;1124;321;87;604;1052;707;391;1341;910;54;282;1421;621;477;1051;321;87;604;1052;707;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73;0;0;0;0;0
"33066 Siero";7427;5828;3115;5608;14751;8736;6891;10369;7367;11695;5225;14583;4454;14906;7427;5828;3115;5608;14751;8736;6891;7476;7367;11695;5225;14583;4433;14906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2893;0;0;0;0;21;0
"33067 Sobrescobio";319;114;13;0;797;161;273;44;0;0;0;0;809;0;319;114;13;0;362;0;273;44;0;0;0;0;244;0;0;0;0;0;435;0;0;0;0;0;0;0;565;0;0;0;0;0;0;161;0;0;0;0;0;0;0;0
"33068 Somiedo";1175;142;140;0;0;22;0;42;0;67;157;0;68;0;1175;142;140;0;0;22;0;42;0;67;157;0;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33069 Soto del Barco";23000;20642;18507;14159;16502;19954;28925;17394;27626;22319;12766;20961;32290;30674;23000;20642;18507;14159;16502;19954;28925;17394;27626;22319;12766;20961;32290;30674;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
